size_count,color_1,color_2,color_3,color_4,color_5,product_code
,Cloud White / Collegiate Navy / Pulse Blue / Better Scarlet S23,Core Black / Grey Six / Stone / Better Scarlet,Wonder Steel F22 / Night Sky / Preloved Blue S23 / Impact Yellow F22,,,GC1065
,Cloud White / Collegiate Navy / Pulse Blue / Better Scarlet S23,Core Black / Grey Six / Stone / Better Scarlet,Wonder Steel F22 / Night Sky / Preloved Blue S23 / Impact Yellow F22,,,GC1066
,Cloud White / Collegiate Navy / Pulse Blue / Better Scarlet S23,Core Black / Grey Six / Stone / Better Scarlet,Wonder Steel F22 / Night Sky / Preloved Blue S23 / Impact Yellow F22,,,GC1067
,Dark Blue / Silver Metallic / Night Indigo,Grey One / Silver Metallic / Grey Two,,,,ID0364
,Dark Blue / Silver Metallic / Night Indigo,Grey One / Silver Metallic / Grey Two,,,,ID0365
,Cloud White / Cloud White / Wonder Quartz,Cloud White / Cloud White / Chalk White,Core Black / Cloud White / Core Black,,,IE2305
,Cloud White / Cloud White / Wonder Quartz,Cloud White / Cloud White / Chalk White,Core Black / Cloud White / Core Black,,,IE2309
,Cloud White / Cloud White / Wonder Quartz,Cloud White / Cloud White / Chalk White,Core Black / Cloud White / Core Black,,,IE2310
,Cloud White / Blue / Bright Blue,Off White / Red / Preloved Red S23,,,Wonder White / Cloud White / Magic Beige,ID2066
,Cloud White / Blue / Bright Blue,Off White / Red / Preloved Red S23,,,Wonder White / Cloud White / Magic Beige,ID2068
,Core Black / Charcoal Solid Grey / Dgh Solid Grey,Charcoal Solid Grey / Stone / Dgh Solid Grey,,,Wonder White / Cloud White / Magic Beige,HP6770
,Core Black / Charcoal Solid Grey / Dgh Solid Grey,Charcoal Solid Grey / Stone / Dgh Solid Grey,,,Wonder White / Cloud White / Magic Beige,HP6771
,Tech Indigo / Cloud White / Tech Indigo,Core Black / Cloud White / Core Black,Grey Three / Core Black / Grey Three,Core Black / Olive Strata S23 / Core Black,Wonder White / Cloud White / Magic Beige,EG2041
,Tech Indigo / Cloud White / Tech Indigo,Core Black / Cloud White / Core Black,Grey Three / Core Black / Grey Three,Core Black / Olive Strata S23 / Core Black,Wonder White / Cloud White / Magic Beige,EG2042
,Tech Indigo / Cloud White / Tech Indigo,Core Black / Cloud White / Core Black,Grey Three / Core Black / Grey Three,Core Black / Olive Strata S23 / Core Black,Wonder White / Cloud White / Magic Beige,HP2927
,Tech Indigo / Cloud White / Tech Indigo,Core Black / Cloud White / Core Black,Grey Three / Core Black / Grey Three,Core Black / Olive Strata S23 / Core Black,Wonder White / Cloud White / Magic Beige,HP2928
,Dove Grey S20 / Cloud White / Grey Six / Impact Yellow F22,Night Sky / Pulse Blue / Wonder Steel F22 / Semi Impact Orange F22,,,Wonder White / Cloud White / Magic Beige,GC0905
,Dove Grey S20 / Cloud White / Grey Six / Impact Yellow F22,Night Sky / Pulse Blue / Wonder Steel F22 / Semi Impact Orange F22,,,Wonder White / Cloud White / Magic Beige,GC0906
,Wild Teal S21 / Cloud White / Active Gold,Wonder Steel F22 / Cloud White / Impact Yellow F22,Grey / Wonder Steel F22 / Semi Impact Orange F22,,,GB2413
,Wild Teal S21 / Cloud White / Active Gold,Wonder Steel F22 / Cloud White / Impact Yellow F22,Grey / Wonder Steel F22 / Semi Impact Orange F22,,,GB2414
,Wild Teal S21 / Cloud White / Active Gold,Wonder Steel F22 / Cloud White / Impact Yellow F22,Grey / Wonder Steel F22 / Semi Impact Orange F22,,Crystal White / Arctic Night F23 / Lucid Lemon F23,GB2415
