shoe_name,category,color_count,original_price,product_code
Suede Classic Beach Days women's Sneakers,women,2,"5,399",393032_01
Suede Classic Beach Days women's Sneakers,women,2,"5,399",393032_02
PUMA x THE SMURFS Mayze women's Sneakers,women,1,"5,999",394874_01
Carina Leather SoftFoam women's Sneakers,women,3,"2,159",370325_01
Carina Leather SoftFoam women's Sneakers,women,3,"2,879",370325_02
Carina Leather SoftFoam women's Sneakers,women,3,"2,879",370325_10
Carina 2.0 women's Sneakers,women,4,"2,999",385849_02
Carina 2.0 women's Sneakers,women,4,"2,999",385849_04
Carina 2.0 women's Sneakers,women,4,"2,999",385849_05
Carina 2.0 women's Sneakers,women,4,"2,999",385849_17
Jada Renew Regent Romance women's Sneakers,women,2,"3,899",393582_01
Jada Renew Regent Romance women's Sneakers,women,2,"3,569",393582_02
Muse X-2 Metallic V1 women's Sneakers,women,1,"3,849",394277_02
Carina 2.0 women's Sneakers,women,4,"2,999",385849_02
Carina 2.0 women's Sneakers,women,4,"2,999",385849_04
Carina 2.0 women's Sneakers,women,4,"2,999",385849_05
Carina 2.0 women's Sneakers,women,4,"2,999",385849_17
Carina 2.0 women's Sneakers,women,4,"2,999",385849_02
Carina 2.0 women's Sneakers,women,4,"2,999",385849_04
Carina 2.0 women's Sneakers,women,4,"2,999",385849_05
Carina 2.0 women's Sneakers,women,4,"2,999",385849_17
Mayze Stack women's Sneakers,women,1,"4,799",384363_01
Mayze Beach Days women's Sneakers,women,2,"4,799",393077_01
Mayze Beach Days women's Sneakers,women,2,"4,799",393077_02
RS-Pulsoid Beach Days women's Sneakers,women,2,"5,999",393124_01
RS-Pulsoid Beach Days women's Sneakers,women,2,"5,999",393124_02
Mayze Tomorrowland Fashion women's Sneakers,women,1,"5,399",393072_01
Rider FV Artisan women's Sneakers,women,1,"4,459",389887_01
Mayze Classic women's Sneakers,women,2,"4,799",384209_01
Mayze Classic women's Sneakers,women,2,"4,799",384209_02
Kosmo Rider women's Sneakers,women,4,"3,599",383113_01
Kosmo Rider women's Sneakers,women,4,"4,799",383113_03
Kosmo Rider women's Sneakers,women,4,"4,799",383113_08
Kosmo Rider women's Sneakers,women,4,"4,399",383113_10
TRC MIRA Summer women's Sneakers,women,2,"4,949",389894_01
TRC MIRA Summer women's Sneakers,women,2,"4,949",389894_02
Carina 2.0 Pop Up Metallics women's Sneakers,women,2,"3,599",393214_01
Carina 2.0 Pop Up Metallics women's Sneakers,women,2,"3,599",393214_02
Slipstream women's Sneakers,women,1,"4,799",386270_13
RS 3.0 Soft women's Sneakers,women,2,"4,799",393141_01
RS 3.0 Soft women's Sneakers,women,2,"4,799",393141_02
Kosmo Rider women's Sneakers,women,4,"3,599",383113_01
Kosmo Rider women's Sneakers,women,4,"4,799",383113_03
Kosmo Rider women's Sneakers,women,4,"4,799",383113_08
Kosmo Rider women's Sneakers,women,4,"4,399",383113_10
