shoe_name,price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
BOBS SQUAD CHAOS - 2SHINE,"3,899.00",https://www.skechers.in/bobs-squad-chaos---2shine/117221-BLSH.html,WOMEN,2,4.5,117221-NAT,,,,40.0,1,1,skechers,,,,,
BOBS SQUAD CHAOS - 2SHINE,"3,899.00",https://www.skechers.in/bobs-squad-chaos---2shine/117221-BLSH.html,WOMEN,2,4.5,117221-BLSH,,,,40.0,2,2,skechers,NATURAL,BLUSH,,,
BOBS UNITY - HINT OF COLOR,"6,999.00",https://www.skechers.in/bobs-unity---hint-of-color/117434-BKHP.html,WOMEN,5,4.4,117434-BKHP,,,,60.0,5,1,skechers,,,,,
BOBS UNITY - HINT OF COLOR,"6,999.00",https://www.skechers.in/bobs-unity---hint-of-color/117434-BKHP.html,WOMEN,5,4.4,117434-NTOR,,,,60.0,5,2,skechers,BLACK/HOT PINK,NATURAL/ORANGE,,,
ULTRA FLEX 3.0-LOOKS TO THRIL,"4,549.00",https://www.skechers.in/ultra-flex-3.0-looks-to-thril/149982-MULT.html,WOMEN,18,4.9,149982-MULT,,,,60.0,5,1,skechers,,,,,
ULTRA FLEX 3.0-LOOKS TO THRIL,"4,549.00",https://www.skechers.in/ultra-flex-3.0-looks-to-thril/149982-MULT.html,WOMEN,18,4.9,149982-MVE,,,,60.0,5,2,skechers,MMULTI,MMAUVE,,,
SKECH-AIR DYNAMIGHT-LAID OUT,"3,599.00",https://www.skechers.in/skech-air-dynamight-laid-out/149756-LVMT.html,WOMEN,18,5.0,149756-BKMT,,,,60.0,0,1,skechers,,,,,
SKECH-AIR DYNAMIGHT-LAID OUT,"3,599.00",https://www.skechers.in/skech-air-dynamight-laid-out/149756-LVMT.html,WOMEN,18,5.0,149756-LVMT,,,,60.0,5,2,skechers,BLACK/MULTI,LAVENDER/MULTI,,,
SKECH-AIR DYNAMIGHT-LAID OUT,"3,599.00",https://www.skechers.in/skech-air-dynamight-laid-out/149756-LVMT.html,WOMEN,18,5.0,149756-WMLT,,,,60.0,0,3,skechers,BLACK/MULTI,LAVENDER/MULTI,WHITE/MULTI,,
SKECH-AIR DYNAMIGHT-LAID OUT,"3,599.00",https://www.skechers.in/skech-air-dynamight-laid-out/149756-LVMT.html,WOMEN,18,5.0,149756-OFWT,,,,60.0,3,4,skechers,BLACK/MULTI,LAVENDER/MULTI,WHITE/MULTI,OFF WHITE,
MAX CUSHIONING ARCH FIT - DEL,"9,499.00",https://www.skechers.in/max-cushioning-arch-fit---del/128312-PRPK.html,WOMEN,121,4.6,128312-NVPK,,,,60.0,2,1,skechers,,,,,
MAX CUSHIONING ARCH FIT - DEL,"9,499.00",https://www.skechers.in/max-cushioning-arch-fit---del/128312-PRPK.html,WOMEN,121,4.6,128312-PRPK,,,,60.0,3,2,skechers,NAVY/PINK,PURPLE/PINK,,,
ARCH FIT D'LUX-JOURNEY,"7,499.00",https://www.skechers.in/arch-fit-d-lux-journey/149684-ROS.html,WOMEN,34,4.4,149684-ROS,,,,60.0,5,1,skechers,,,,,
ARCH FIT D'LUX-JOURNEY,"7,499.00",https://www.skechers.in/arch-fit-d-lux-journey/149684-ROS.html,WOMEN,34,4.4,149684-NVY,,,,60.0,5,2,skechers,ROSE,NNNAVY,,,
ARCH FIT D'LUX-JOURNEY,"7,499.00",https://www.skechers.in/arch-fit-d-lux-journey/149684-ROS.html,WOMEN,34,4.4,149684-BURG,,,,60.0,1,3,skechers,ROSE,NNNAVY,BBURGUNDY,,
ARCH FIT D'LUX-JOURNEY,"7,499.00",https://www.skechers.in/arch-fit-d-lux-journey/149684-ROS.html,WOMEN,34,4.4,149684-LTBL,,,,60.0,4,4,skechers,ROSE,NNNAVY,BBURGUNDY,LLIGHT BLUE,
ULTRA FLEX 3.0-LOOKS TO THRIL,"4,549.00",https://www.skechers.in/ultra-flex-3.0-looks-to-thril/149982-MVE.html,WOMEN,18,4.9,149982-MULT,,,,60.0,5,1,skechers,,,,,
ULTRA FLEX 3.0-LOOKS TO THRIL,"4,549.00",https://www.skechers.in/ultra-flex-3.0-looks-to-thril/149982-MVE.html,WOMEN,18,4.9,149982-MVE,,,,60.0,5,2,skechers,MMULTI,MMAUVE,,,
BOBS SPARROW 2.0 - WIND CHIME,"4,799.00",https://www.skechers.in/bobs-sparrow-2.0---wind-chime/117256-MVE.html,WOMEN,30,4.5,117256-MVE,,,,60.0,5,1,skechers,,,,,
BOBS UNITY - HINT OF COLOR,"6,999.00",https://www.skechers.in/bobs-unity---hint-of-color/117434-NTOR.html,WOMEN,5,4.4,117434-BKHP,,,,60.0,5,1,skechers,,,,,
BOBS UNITY - HINT OF COLOR,"6,999.00",https://www.skechers.in/bobs-unity---hint-of-color/117434-NTOR.html,WOMEN,5,4.4,117434-NTOR,,,,60.0,5,2,skechers,BLACK/HOT PINK,NATURAL/ORANGE,,,
SUMMITS-BRIGHT CHARMER,"4,399.00",https://www.skechers.in/summits-bright-charmer/149536-NVY.html,WOMEN,80,4.7,149536-NVY,,,,60.0,6,1,skechers,,,,,
SUMMITS-BRIGHT CHARMER,"4,399.00",https://www.skechers.in/summits-bright-charmer/149536-NVY.html,WOMEN,80,4.7,149536-LTMV,,,,60.0,6,2,skechers,NNNAVY,LIGHT MAUVE,,,
