shoe_name,org_price,discounted_price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
Velocity NITRO 2 Women's Running Shoes,"₹9,599","₹11,999",https://in.puma.com/in/en/pd/velocity-nitro-2-womens-running-shoes/376262?swatch=09&referrer-category=womens-shoes,Women,,,376262_19,Running Shoes,,,,6,5,Puma,Sunset Glow-Puma Black,Puma Black-Rose Gold,PUMA Black-Fire Orchid,Frosty Pink-Speed Green,Fire Orchid-Ultra Blue
Velocity NITRO 2 Women's Running Shoes,"₹9,599","₹11,999",https://in.puma.com/in/en/pd/velocity-nitro-2-womens-running-shoes/376262?swatch=09&referrer-category=womens-shoes,Women,,,376262_20,Running Shoes,,,,6,5,Puma,Sunset Glow-Puma Black,Puma Black-Rose Gold,PUMA Black-Fire Orchid,Frosty Pink-Speed Green,Fire Orchid-Ultra Blue
Velocity NITRO 2 Women's Running Shoes,"₹9,599","₹11,999",https://in.puma.com/in/en/pd/velocity-nitro-2-womens-running-shoes/376262?swatch=09&referrer-category=womens-shoes,Women,,,376262_21,Running Shoes,,,,6,5,Puma,Sunset Glow-Puma Black,Puma Black-Rose Gold,PUMA Black-Fire Orchid,Frosty Pink-Speed Green,Fire Orchid-Ultra Blue
Twitch Runner Fresh Women's Shoes,"₹3,299","₹5,999",https://in.puma.com/in/en/pd/twitch-runner-fresh-womens-shoes/379022?swatch=07&referrer-category=womens-shoes,Women,,,379022_07,Shoes,,,,4,1,Puma,,,,,
SOFTRIDE Stakd Premium Women's Running Shoes,"₹4,799","₹7,999",https://in.puma.com/in/en/pd/softride-stakd-premium-womens-running-shoes/378854?swatch=01&referrer-category=womens-shoes,Women,,,378854_01,Running Shoes,,,,3,2,Puma,PUMA Black-Cool Dark Gray,Warm White-Alpine Snow-Dark Clove,,,
SOFTRIDE Stakd Premium Women's Running Shoes,"₹4,799","₹7,999",https://in.puma.com/in/en/pd/softride-stakd-premium-womens-running-shoes/378854?swatch=01&referrer-category=womens-shoes,Women,,,378854_02,Running Shoes,,,,2,2,Puma,PUMA Black-Cool Dark Gray,Warm White-Alpine Snow-Dark Clove,,,
Pure XT Women's Training Shoes,"₹3,249","₹6,499",https://in.puma.com/in/en/pd/pure-xt-womens-training-shoes/195328?swatch=07&referrer-category=womens-shoes,Women,,,195328_07,Training Shoes,,,,3,1,Puma,,,,,
Remedie Slip Strap Women's Training Shoes,"₹3,569","₹6,499",https://in.puma.com/in/en/pd/remedie-slip-strap-womens-training-shoes/377151?swatch=07&referrer-category=womens-shoes,Women,,,377151_02,Training Shoes,,,,2,2,Puma,Platinum Gray-Puma White-Carnation Pink,Gray Tile-Pearl Pink-PUMA White,,,
Remedie Slip Strap Women's Training Shoes,"₹3,299","₹5,999",https://in.puma.com/in/en/pd/remedie-slip-strap-womens-training-shoes/377151?swatch=07&referrer-category=womens-shoes,Women,,,377151_07,Training Shoes,,,,3,2,Puma,Platinum Gray-Puma White-Carnation Pink,Gray Tile-Pearl Pink-PUMA White,,,
Remedie Metallic Women's Training Shoes,"₹3,569","₹6,499",https://in.puma.com/in/en/pd/remedie-metallic-womens-training-shoes/376965?swatch=03&referrer-category=womens-shoes,Women,,,376965_03,Training Shoes,,,,3,1,Puma,,,,,
Stewie 2 Team Women's Basketball Shoes,"₹7,199","₹11,999",https://in.puma.com/in/en/pd/stewie-2-team-womens-basketball-shoes/379082?swatch=05&referrer-category=womens-shoes,Women,,,379082_05,Basketball Shoes,,,,6,1,Puma,,,,,
Pure XT Moto Women's Training Shoes,"₹3,899","₹6,499",https://in.puma.com/in/en/pd/pure-xt-moto-womens-training-shoes/195186?swatch=01&referrer-category=womens-shoes,Women,,,195186_01,Training Shoes,,,,3,1,Puma,,,,,
SOFTRIDE Sophia 2 Premium Women's Running Shoes,"₹3,249","₹6,499",https://in.puma.com/in/en/pd/softride-sophia-2-premium-womens-running-shoes/378710?swatch=03&referrer-category=womens-shoes,Women,,,378710_02,Running Shoes,,,,6,2,Puma,Icy Blue-PUMA Silver,Frosty Pink-PUMA Silver,,,
SOFTRIDE Sophia 2 Premium Women's Running Shoes,"₹3,249","₹6,499",https://in.puma.com/in/en/pd/softride-sophia-2-premium-womens-running-shoes/378710?swatch=03&referrer-category=womens-shoes,Women,,,378710_03,Running Shoes,,,,3,2,Puma,Icy Blue-PUMA Silver,Frosty Pink-PUMA Silver,,,
Magnify Nitro Surge Women's Running Shoes,"₹8,399","₹13,999",https://in.puma.com/in/en/pd/magnify-nitro-surge-womens-running-shoes/376906?swatch=03&referrer-category=womens-shoes,Women,,,376906_03,Running Shoes,,,,3,3,Puma,Sunset Glow-Puma Black,PUMA Black-Ravish,Ravish-PUMA Black-Fresh Pear,,
Magnify Nitro Surge Women's Running Shoes,"₹8,399","₹13,999",https://in.puma.com/in/en/pd/magnify-nitro-surge-womens-running-shoes/376906?swatch=03&referrer-category=womens-shoes,Women,,,376906_07,Running Shoes,,,,6,3,Puma,Sunset Glow-Puma Black,PUMA Black-Ravish,Ravish-PUMA Black-Fresh Pear,,
Magnify Nitro Surge Women's Running Shoes,"₹8,399","₹13,999",https://in.puma.com/in/en/pd/magnify-nitro-surge-womens-running-shoes/376906?swatch=03&referrer-category=womens-shoes,Women,,,376906_09,Running Shoes,,,,6,3,Puma,Sunset Glow-Puma Black,PUMA Black-Ravish,Ravish-PUMA Black-Fresh Pear,,
