shoe_name,original_price,discount_price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color 1,color 2,color 3,color 4,color 5
DURAMO SL SHOES,6 599.00,,https://www.adidas.co.in/duramo-sl-shoes/IF7890.html,Women ,374.0,,IF7890, Running,88.0,86.0,49.0,,3,adidas,Core Black / Cloud White / Carbon,Flash Aqua F23 / Cloud White / Silver Dawn S23,Cloud White / Night Metallic / Pink Fusion F23,,
RUNFALCON 3.0 SHOES,6 599.00,4 619.50,https://www.adidas.co.in/runfalcon-3.0-shoes/HP7555.html,Women ,778.0,,HP7555, Running,87.0,84.0,53.0,,7,adidas,Blue Dawn S23 / Zero Metalic / Silver Dawn S23,Core Black / Core Black / Carbon,Core Black / Pulse Magenta F22 / Grey Six,Shadow Navy / Pulse Mint / Silver Metallic,Silver Dawn S23 / Cloud White / Silver Violet S23
RUNFALCON 3.0 SHOES,6 599.00,4 619.50,https://www.adidas.co.in/runfalcon-3.0-shoes/HP7558.html,Women ,778.0,,HP7558, Running,87.0,84.0,53.0,,7,adidas,Blue Dawn S23 / Zero Metalic / Silver Dawn S23,Core Black / Core Black / Carbon,Core Black / Pulse Magenta F22 / Grey Six,Shadow Navy / Pulse Mint / Silver Metallic,Silver Dawn S23 / Cloud White / Silver Violet S23
RUNFALCON 3.0 SHOES,6 599.00,4 619.50,https://www.adidas.co.in/runfalcon-3.0-shoes/HP7560.html,Women ,778.0,,HP7560, Running,87.0,84.0,53.0,,7,adidas,Blue Dawn S23 / Zero Metalic / Silver Dawn S23,Core Black / Core Black / Carbon,Core Black / Pulse Magenta F22 / Grey Six,Shadow Navy / Pulse Mint / Silver Metallic,Silver Dawn S23 / Cloud White / Silver Violet S23
RUNFALCON 3.0 SHOES,6 599.00,4 619.50,https://www.adidas.co.in/runfalcon-3.0-shoes/HP7562.html,Women ,778.0,,HP7562, Running,87.0,84.0,53.0,,7,adidas,Blue Dawn S23 / Zero Metalic / Silver Dawn S23,Core Black / Core Black / Carbon,Core Black / Pulse Magenta F22 / Grey Six,Shadow Navy / Pulse Mint / Silver Metallic,Silver Dawn S23 / Cloud White / Silver Violet S23
RUNFALCON 3.0 SHOES,6 599.00,4 619.50,https://www.adidas.co.in/runfalcon-3.0-shoes/HQ1474.html,Women ,778.0,,HQ1474, Running,87.0,84.0,53.0,,7,adidas,Blue Dawn S23 / Zero Metalic / Silver Dawn S23,Core Black / Core Black / Carbon,Core Black / Pulse Magenta F22 / Grey Six,Shadow Navy / Pulse Mint / Silver Metallic,Silver Dawn S23 / Cloud White / Silver Violet S23
RUNFALCON 3.0 SHOES,6 599.00,4 619.50,https://www.adidas.co.in/runfalcon-3.0-shoes/ID2274.html,Women ,778.0,,ID2274, Running,87.0,84.0,53.0,,7,adidas,Blue Dawn S23 / Zero Metalic / Silver Dawn S23,Core Black / Core Black / Carbon,Core Black / Pulse Magenta F22 / Grey Six,Shadow Navy / Pulse Mint / Silver Metallic,Silver Dawn S23 / Cloud White / Silver Violet S23
RUNFALCON 3.0 SHOES,6 599.00,4 619.50,https://www.adidas.co.in/runfalcon-3.0-shoes/ID2277.html,Women ,778.0,,ID2277, Running,87.0,84.0,53.0,,7,adidas,Blue Dawn S23 / Zero Metalic / Silver Dawn S23,Core Black / Core Black / Carbon,Core Black / Pulse Magenta F22 / Grey Six,Shadow Navy / Pulse Mint / Silver Metallic,Silver Dawn S23 / Cloud White / Silver Violet S23
NU 23 CRICKET SHOES,4 599.00,,https://www.adidas.co.in/nu-23-cricket-shoes/IQ8799.html,Men ,2.0,,IQ8799, Cricket,100.0,25.0,25.0,,3,adidas,Cloud White / Blue Night / Better Scarlet S23,Cloud White / Blue Fusion / Core Black,Cloud White / Pulse Blue / Preloved Yellow,,
NU 23 CRICKET SHOES,4 599.00,,https://www.adidas.co.in/nu-23-cricket-shoes/IQ8800.html,Men ,2.0,,IQ8800, Cricket,100.0,25.0,25.0,,3,adidas,Cloud White / Blue Night / Better Scarlet S23,Cloud White / Blue Fusion / Core Black,Cloud White / Pulse Blue / Preloved Yellow,,
